Posts,Old,New
100000,8923,9273
200000,8642,9091
300000,9096,8931
400000,8643,9031
500000,8939,9403
600000,9126,9231
700000,9672,9511
800000,9626,9431
900000,9906,10226
1000000,9657,9080
1100000,9796,10094
1200000,9969,10063
1300000,11046,10219
1400000,11292,10812
1500000,10718,10843
1600000,11856,10624
1700000,12339,10391
1800000,12184,10640
1900000,12355,11717
2000000,12874,12138
2100000,12806,11997
2200000,13273,12356
2300000,13695,12216
2400000,14294,12621
2500000,14222,12279
2600000,13696,13432
2700000,14802,13932
2800000,15104,14306
2900000,13656,12544
3000000,14700,13838
3100000,15545,14213
3200000,14929,14369
3300000,16033,13869
3400000,15909,14416
3500000,16810,13899
3600000,17704,14058
3700000,16736,14197
3800000,16510,14603
3900000,17844,13916
4000000,18452,14524
4100000,18171,16288
4200000,18351,15975
4300000,18088,15991
4400000,19120,15882
4500000,19015,16256
4600000,19431,16412
4700000,20126,15960
4800000,20270,16880
4900000,19707,17083
5000000,20789,16881
5100000,20309,16396
5200000,22170,18066
5300000,21302,17801
5400000,20605,17831
5500000,21350,17707
5600000,21807,17785
5700000,21526,18378
5800000,23041,18612
5900000,22894,19407
6000000,23708,19829
6100000,24482,18191
6200000,23450,19750
6300000,24429,18940
6400000,25503,19516
6500000,24428,20047
6600000,25401,20749
6700000,25836,18955
6800000,25867,20579
6900000,25785,19969
7000000,26468,20593
7100000,26583,20390
7200000,26624,21139
7300000,26415,20842
7400000,28347,20250
7500000,26498,21108
7600000,25877,20765
7700000,29448,21107
7800000,28656,21451
7900000,27081,22278
8000000,30014,22964
8100000,29640,21420
8200000,27581,22933
8300000,28349,23308
8400000,28521,23728
8500000,30098,24103
8600000,30872,23916
8700000,29826,22637
8800000,29574,23276
8900000,31208,24056
9000000,32655,24134
9100000,32251,23885
9200000,31146,24696
9300000,33002,25756
9400000,31475,24774
9500000,31686,24945
9600000,35895,25774
9700000,32891,25709
9800000,33634,26163
9900000,32424,25304
10000000,33150,28034
10100000,33975,26349
10200000,34293,25632
10300000,32794,26443
