IndexType,IndexUnique,Operation,ListType,numElements,ExperimentNumber,Duration,NumNodes
old,Unique,insert,random,100000,0,116,449
old,Unique,insert_write,random,100000,0,31,449
old,Unique,insert,random,100000,1,50,449
old,Unique,insert_write,random,100000,1,30,449
old,Unique,insert,random,100000,2,41,449
old,Unique,insert_write,random,100000,2,31,449
old,Unique,insert,random,100000,3,38,449
old,Unique,insert_write,random,100000,3,31,449
old,Unique,insert,random,100000,4,39,449
old,Unique,insert_write,random,100000,4,29,449
old,Unique,insert,random,100000,5,42,449
old,Unique,insert_write,random,100000,5,31,449
old,Unique,insert,random,100000,6,41,449
old,Unique,insert_write,random,100000,6,30,449
old,Unique,insert,random,100000,7,28,449
old,Unique,insert_write,random,100000,7,29,449
old,Unique,insert,random,100000,8,28,449
old,Unique,insert_write,random,100000,8,28,449
old,Unique,insert,random,100000,9,28,449
old,Unique,insert_write,random,100000,9,28,449
old,Unique,insert,random,100000,10,29,449
old,Unique,insert_write,random,100000,10,28,449
old,Unique,insert,random,500000,0,508,2254
old,Unique,insert_write,random,500000,0,126,2254
old,Unique,insert,random,500000,1,296,2254
old,Unique,insert_write,random,500000,1,120,2254
old,Unique,insert,random,500000,2,309,2254
old,Unique,insert_write,random,500000,2,124,2254
old,Unique,insert,random,500000,3,283,2254
old,Unique,insert_write,random,500000,3,98,2254
old,Unique,insert,random,500000,4,286,2254
old,Unique,insert_write,random,500000,4,99,2254
old,Unique,insert,random,500000,5,281,2254
old,Unique,insert_write,random,500000,5,97,2254
old,Unique,insert,random,500000,6,285,2254
old,Unique,insert_write,random,500000,6,97,2254
old,Unique,insert,random,500000,7,280,2254
old,Unique,insert_write,random,500000,7,97,2254
old,Unique,insert,random,500000,8,317,2254
old,Unique,insert_write,random,500000,8,99,2254
old,Unique,insert,random,500000,9,289,2254
old,Unique,insert_write,random,500000,9,99,2254
old,Unique,insert,random,500000,10,291,2254
old,Unique,insert_write,random,500000,10,97,2254
old,Unique,insert,random,1000000,0,1179,4489
old,Unique,insert_write,random,1000000,0,206,4489
old,Unique,insert,random,1000000,1,694,4489
old,Unique,insert_write,random,1000000,1,198,4489
old,Unique,insert,random,1000000,2,705,4489
old,Unique,insert_write,random,1000000,2,199,4489
old,Unique,insert,random,1000000,3,701,4489
old,Unique,insert_write,random,1000000,3,1237,4489
old,Unique,insert,random,1000000,4,671,4489
old,Unique,insert_write,random,1000000,4,213,4489
old,Unique,insert,random,1000000,5,693,4489
old,Unique,insert_write,random,1000000,5,208,4489
old,Unique,insert,random,1000000,6,702,4489
old,Unique,insert_write,random,1000000,6,201,4489
old,Unique,insert,random,1000000,7,686,4489
old,Unique,insert_write,random,1000000,7,198,4489
old,Unique,insert,random,1000000,8,687,4489
old,Unique,insert_write,random,1000000,8,197,4489
old,Unique,insert,random,1000000,9,692,4489
old,Unique,insert_write,random,1000000,9,1822,4489
old,Unique,insert,random,1000000,10,686,4489
old,Unique,insert_write,random,1000000,10,209,4489
old,Unique,insert,increasing,100000,0,4,395
old,Unique,insert_write,increasing,100000,0,16,395
old,Unique,insert,increasing,100000,1,4,395
old,Unique,insert_write,increasing,100000,1,22,395
old,Unique,insert,increasing,100000,2,7,395
